,text
475,"I was wrong! I guess they are closer to $800 new! I willprobably still sell them for the above implied $300 obo.Email me if you want more specifics. This is a really attractive set of books, kind of a Bible encyclopedia set.Also email me if you know more about these books or postthe information here."
476,"I have attached a copy of an announcement I picked up during my trip toMoscow last week.  I have several friends at the Moscow AviationInstitute who have asked me to post this announcement.  (I have donesome editing, but the contents is unchanged from the originalannouncement.) For those of you not familiar with the Moscow Aviation Institute, it isthe leading Russian school of higher education dedicated to the trainingof aircraft and spacecraft designers.  It specializes in airframedesign, powerplant design, control systems, and power systems.Virtually all of the major former Soviet airframe designers (Tupolev,Su, Iluchine, Migoyan, etc.) were schooled at MAI.I had the opportunity to tour the two museums that are maintained atMAI.  The aircraft include Mig23, Su 27, Yak 38, the cockpit of anF-111(!), among others.  It was a fascinating and eye openingexperience, expecially given the fact that the museum was, until a yearor so ago, closed to virtually everyone.  I also had the opportunity tosee some of the experiments being conducted with plasma drive enginesfor future space craft use.If you have any questions about the Institute, or the program, I wouldbe glad to try and answer them.  The institute, and most of it's facultyhave e-mail addresses.  However, it takes about a day or so for thereceiver to get the message.  They are still a bit antiquated - but theyare rapidly changing!Steve Emmettsemmett@gmuvax2.gmu.edups  please send any questions you have for me via e-mail.  George Masonuniversity has about a 2 week (!) delay in news feed delivery.-------------------------------------------------------------------		MOSCOW INTERNATIONAL AVIATION SCHOOLThe aviation school ""Poljot"" (meaning Flight) is organized by the theMoscow Aviation Institute, the prominent Russian Center of airspaceeducation and the foreign trade firm Poljot, well known in variousparts of the world for their quartz and mechanical wrist watches.The course of studies will last only 50 days, but during this timeyou will have the unique opportunity:	- to listen to intensive courses on the main aviationdisciplines, the history and theory of techniques, and design ofairplanes;	- to visit and get acquainted with the world known Russian aviation firms - TU, MiG, Yak, Il and Su;	- to meet and have discussions with famous aviationscientists, engineers and pilots;	- to visit the most interesting museums of unique aviationtechniques which were closed for many years to the public;	- to see the International Airspace Show which will takeplace in Moscow from 31 August through 3 September 1993;	- to visit famous art museums, historical and architecturalmonuments, theatres and concert halls;	- to take part in sport competitions and have a great timewith new friends.The Director of the school is Mr. Oleg Samelovich, a well knownRussian scientist, professor, general designer and the Chief of theAirplanes Design Department of the Moscow Aviation Institute.  Mr.Samelovich is one of the designers of the the Su-24, Su-25, and Su-27The lectures are given in English, using a multi-media concept.  Thestudents are provided with all the necessary text books andliterature.  After the full course of studies are completed, thestudent will receive a special certificate of graduation.The cost of studies, including hotel, meals, excursions, theatres,etc is $3500.To apply for admission, send your application to:109147 Moscow Marksistskaja 34Foreign Trade Firm ""Poljot""274 00 13 (phone)274 00 22 (FAX)411989 POLEX SU (telex)In your application, include your full name, address, date and placeof birth.  In addition, include complete passport information, as wellas a description of your education.Upon receipt of this information, ""Poljot"" will immediately forwardto you an official invitation for obtaining a Russian entrance visaas well as details on payment.Should you require additional information, please do not hesitate tocontact us.(signed)	O. Samelovich-------------------------------------------------------------------------- Steve Emmett				 semmett@gmuvax2.gmu.edu"
479,"The title says it all...If you have some cheap used GAMEBOY or TG-16 (2 Player or more) Games, Pleaseemail me all offers..."
480,"I usually use ""Algorithms for graphics and image processing"" byTheodosios Pavlidis, but other people here got them same idea and now3 of 4 copies in the libraries have been stolen!Another reference is ""Digital Image Processing"" by Gonzalez andWintz/Wood, which is widely available but a little expensive ($55here- I just checked today)."
484,"Rex Wang (wangr@vccsouth22.its.rpi.edu) spews forth stupidly:PLEASE PLEASE PLEASE tell me that you don't actually ATTEND Rensselaer, andthat you just work for ITS. Or that this was tounge-in-cheek.Does this mean that I should be cutting off my alumni contributions, or increasing them?"
486,"WHile we are on the subject of the shuttle software.what ever happened to the hypothesis  that the shuttle flight softwarewas a major factor in the loss of 51-L.  to wit,  that during thewind shear event,  the Flight control software  indicated a seriesof very violent engine movements that shocked and set upa harmonicresonance  leading to an overstress of the struts."
487,ifteam! Yeah but Soderstrom's mask has always appeared to be a lot bigger than the  average helmet-and-cage variety.  It has a certain appeal on its ownjosh
488,"I have seen several ray-traced scenes (from MTV or was it RayShade??) with stroked fonts appearing as objects in the image.The fonts/chars had color, depth and even textures associated withthem.  Now I was wondering, is it possible to do the same in POV??Thanks,"
489,Do you happen to know what a .SCO RIX file is?
490,"-> I am looking for source-code for the radiosity-method. I don't know what kind of machine you want it for, but the programRadiance comes with 'C' source code - I don't have ftp access so Icouldn't tell you where to get it via that way."
491,Sounds similar to something Wally Schirra said.
492,"I have two pairs of headphones I'd like to sell.  These are excellent, and both in great condition:Denon AH-D350JVC HA-D590Any reasonable offer accepted."
493,"...Please.  Have a care with Phil.  We liked him a lot in Pittsburgh.  Hedidn't score a lot if you look at his stats last year but he worked hisbutt off.  It was his speed that created opportunities in the offensivezone that allowed the Pens to utilize his potential.  I haven't beenpaying attention to him this year so I can't say I know what you're objecting to.  He has been out with injuries though, hasn't he?  Andif the offense isn't there, there's not much his speed will do for you.Like I said, he created opportunities but he didn't score much.  I thoughtthe money offered from the Rangers was a little high, and so did the Pens,I guess.Joseph Stiehm...Please.  Have a care with Phil.  We liked him a lot in Pittsburgh.  Hedidn't score a lot if you look at his stats last year but he worked hisbutt off.  It was his speed that created opportunities in the offensivezone that allowed the Pens to utilize his potential.  I haven't beenpaying attention to him this year so I can't say I know what you're objecting to.  He has been out with injuries though, hasn't he?  Andif the offense isn't there, there's not much his speed will do for you.Like I said, he created opportunities but he didn't score much.  I thoughtthe money offered from the Rangers was a little high, and so did the Pens,I guess."
495,"I love the idea of progressive developmental prizes, but the assumptionhasbeen all along that only the U.S. Gummint could fund the prizes.  Itwouldn't and couldn't do such a thing ... BUT ...An eccentric billionaire COULD offer such a prize or series of prizes.Anyone know H. Ross Perot or Bill Gates personally?"
496,"It doesn't make a whole lot of difference, actually, since they weren'tbuilding spares of the station hardware anyway.  (Dumb.)  At least thisis only one launch to fail."
497,"Yes, I do.  A couple of years ago, I did a comparison of the twoproducts.  Some of this may have changed, but here goes.As far as a PHIGS+ implementation, Figaro+ is fine.  But, its PHIGS!Personally, I hate PHIGS because I find it is too low level.  I alsodislike structure editing, which I find impossible, but enough aboutPHIGS.I have found HOOPS to be a system that is full-featured and easy touse.  They support all of their rendering methods in software whenthere is no hardware support, their documentation is good, and theyare easily portable to other systems.I would be happy to elaborate further if you have more specificquestions. "
499,"I've had, and still have a few aluminum sticks.  I got my first when I was 15(a Christian), and broke the shaft halfway through the season, two years later.  I bought another (a Canadian) at the beginning of the next season, and I still have it.  I also have an Easton, that a friend was getting rid off, after giving up the game.  I find that Easton blades are easier to get, but all brands of blades are pretty well interchangeable.  Watch out for dried up bits of firewood, that some stores pass off as blades.  In my experiences, the blades of an aluminum break more often than regular sticks, but I've only ever broken one aluminum shaft.I like aluminum sticks.  The blades are quickly changed, even on the bench if you have to.  On the downside, the shaft won't break if you decide to impale yourself on it :-)Ciao,Mark S."
502,"Hi there, I can't seem to get mail to you. Can you tell me your entireadress, or even your dotted decimal address?   (ie. 131.202.3.10)   Thanks,           rocket@calvin.cs.unb.ca -- "
503,"I don't think Primeau is necessarily a bad pick...I'm was just tryingto locate the beginning of Murray's decisions...he slowness in tradingCarson has delayed Primeau's development...and you have to wait longerfor big players often...and Primeau can be a very good player withoutbeing a point-a-game-player, especially on a team that has Yzerman andFedorov...if Primeau becomes Joel Otto, and gets 20 goals a season,and plays mean...it will have been an extremely good pick."
504,"Will someone tell an ignorant physicist where the term ""Level 5"" comesfrom? It sounds like the RISKS Digest  equivalent of Large, ExtraLarge, Jumbo... Or maybe it's like ""Defcon 5...""I gather it means that Shuttle software was developed with extremecare to have reliablility and safety, and almost everything else inthe computing world is Level 1, or cheesy dime-store software.  Notsurprising.  But who is it that invents this standard, and how comeeveryone but me seems to be familiar with it?"
507,"Actually, this part was really interesting.  It turns out that the mask iscustom-fit to the goalie's face.  The goalie puts his/her face through apiece of wood (or was it plastic?) with a hole in it that allows only the faceand forehead to show.  Hair is covered by a cap, eyes are covered by a plasticwrap-type material, and vaseline is put on the goaltender's face.  Then, aplaster is spread on their cheeks, forehead, and chin which takes about 12minutes to dry sufficiently.  When it dries, it is effectively a mold of thegoalie's face.  This is used as the basis of the mask (the rest involvespadding the inside, hardening the exterior, fitting the cage, etc. etc.  John Blue of the Bruins actually demonstrated the procedure on the show. Yeah, Essensa's mask looked really good. Actually, I thought I heard him say that it _was_ Potvin's for certain.  Iwould bet money on it either way...and it did look awesome!"
509,"""Deeply rooted rivalry?"" Ahem, Jokerit have been around since 1967 and joinedthe top flight only in the early '70s. Helsingfors IFK have been around since1897 but fans only started taking hockey seriously in the 1960s so I thinkyou're exagerating here.That's a rather bold claim, in the light of how successful the Canadian &American Olympic teams have been . . . and they've had to play according to ourset of rules and on international ice. The 1992 Olympic teams contained aboutas much talent as your average expansion team. Canada had Eric Lindros, SeanBurke, Joe Juneau and Chris Kontos. Another four or five have been deep subs inthe NHL. As for the Yanks, Keith Tkachuk, Scott Lachance, Bret Hedican, Shawn McEachern, Steve Heintze, Ted Donato, Joe Sacco and Bill Guerin have been 3rd/4th line players in the NHL, while Robb Stauber has done well for the Kings in goal. Nothing more. In fact, I'm sure that an All-Star team assembledfrom the best Finnish League teams would do no better in the NHL than Hartford or Tampa Bay currently are doing.---But what happens if _all_ top-class Finnish & Swedish players gradually end upwith Helsinki & Stockholm as the North American-based ones gradually retire andno Canadian/American team is allowed to draft new players from Scandinavia? Here is what THE HOCKEY NEWS scouts think of our NHL-based players:(28-30=superstar)(23-27=star)(18-22=NHL regular+)(13-17=NHL regular)( 8-12=role player)FINLAND:  D-Jyrki Lumme.......20D-Teppo Numminen....20D-Peter Ahola.......13C-Jari Kurri........25C-Christian Ruuttu..16R-Teemu Selanne.....27L-Esa Tikkanen......20(Obviously, Selanne's ratings would be higher today than they were in January)SWEDEN:D-Ulf Samuelsson....21D-Fredrik Olausson..20D-Niklas Lidstrom...18D-Calle Johansson...18D-Kjell Samuelsson..17D-Tommy Sjodin......13D-Tommy Albelin......7C-Mats Sundin.......26C-Thomas Steen......18R-Thomas Sandstrom..22R-Ulf Dahlen........18R-Michael Nylander..13L-Per-Erik Eklund...18L-Johan Garpenlov...16L-Mikael Andersson..15L-Jan Erixon........14This would be interesting. Clearly, Finland's top five players (Winnipeg'sSelanne & Numminen, Vancouver's Lumme, Los Angeles' Jari Kurri and New York'sTikkanen) are right up there with any five-man unit Pittsburgh & co. have. ButI have my doubts about the home-based Finnish players - the national team didwell in the Canada Cup and World Championships largely due to the efforts ofMarkus Ketterer (the goalie), 3-4 or the players listed above and luck. There'spresumably a lot of decent players in Finland that wouldn't be superstars atthe highest level but still valuable role players, however. My guess would bethat the Finnish Canada Cup team would be a .500 team in the NHL.---Sweden is easier to judge because they have more players in North America.Their points total (16 players) is 274 - seven more than Ottawa's 22 topplayers combined! If we estimate there are six more NHL regulars back home in Sweden, an all-Swedish team would assemble about 350-360 skill points.Deducting some points from Pittsburgh, NY Rangers and other teams that rely onSwedish players, the Swedish team would finish in sixth place - about as highas Boston, Vancouver, Calgary and Montreal on paper! So, the ""dynasty"" talkisn't completely unfounded here. An all-Finnish/all-Swedish team might have anadvantage because the players would be playing at home half of the time,won't have to adapt to a foreign country and a foreign language, and presumablyplay the wide-open European variant of hockey rather than have to learn theNorth American checking game. However, if free agency becomes a factor the top Scandinavian players still might end up playing for large-market teams after a couple of years the same way Edmonton's ""dynasty"" crumbled in the late '80s. Some fringe players likely will be drafted by other NHL teams as having an exclusive talent pool might be a bit unfair after all. I'd settle for a compromise, prohibit all European teams from signing a North American during the first two rounds but allow them to keep their top two players. After this, the amateur draft should be open to anyone. "
510,Please count me in also...Just can't tell you how excited I was when the Islanders beat the Rangersin overtime on last Friday!!!
511,"This is ok in my opinion as long as the stuff *returns to earth*.If this turns out to be true, it's time to get seriously active interrorism. This is unbelievable! Who do those people think they are,selling every bit that promises to make money? I guess we reallydeserve being wiped out by uv radiation, folks. ""Stupidity wins"". Iguess that's true, and if only by pure numbers.	Another depressed planetary citizen,	hoover"
512,"Oh, excuse me for wasting the bandwidth, but I was referring to the original incident, not the recent skirmish which occurredthis past month. "
513,"But Allen, if you can assume the existence of an SSTO there is no needto have the contest in the first place.  I would think that what wewant to get out of the contest is the development of some of these'cheaper' ways of doing things; if they already exist, why flush $1Gjust to get someone to go to the Moon for a year?-- ""Insisting on perfect safety is for people who don't have the balls to live in the real world.""   -- Mary Shafer, NASA Ames Dryden"
517,"  Hello, I know that this has been discussed before.  But at the timeI didn't need to teselate a sphere.  So if any kind soul has the codeor the alg, that was finally decided upon as the best (as I recall itwas a nice, iterative subdivision meathod), I would be very appreciative.							Thomas DeWeesedeweeset@rdrc.rpi.edu"
518,"Here we go again. Is this the same idiot who posted the Gretzkytrade to Toronto????   Sheeeesh!  You should have waited until we gotover that one before this garbage, maybe we would have believed it forhalf a second (NOT!).   By the way, I just heard from Mother Goose that Mario Lemieux wastraded to Winnpeg for Tie Domi!!!!!"
521,  Could someone please help me find a program or figure out how to extract a list of R G B values for each pixel in an image.  I can convert between tga and several other popular formats but I need the R G B values for use in a program I am writing.  Thanks for the help
522,"If Comet Shoemaker-Levy 1993e is in Jovian orbit, and if the cometis still hanging around when Galileo arrives, then I'm sure it willbe added to the list of targets.  We'll have by then over two yearsof Earth-based observations to help narrow down the positions of thepieces of the comet. It probably won't be too much different thanwhat was done with Gaspra.Galileo did not image Toutatis.  That came from Earth-based radar."
523,"    > be the site of major commercial activity. As far as we know it has no    > materials we can't get cheaper right here on Earth or from asteroids    > and comets, aside from the semi-mythic He3 that *might* be useful in low    > grade fusion reactors.   problem with 3He (aside from the difficulty in making any fusion   reactor work) is that its concentration in lunar regolith is just so   small -- on the order of 5 ppb or so, on average (more in some   This thread reminds me of Wingo's claims some time ago about the moon   as a source of titanium for use on earth.  As I recall, Wingo wasn't ...   even 1% of the basalts are 5% TiO2, this is trillions of tons of TiO2   at concentrations only a factor of 2-3 less than in lunar high-Ti   basalts.  It is difficult to see how the disadvantages of the moon   could be overcome by such a small increase the concentration of the   ore (never mind the richer, but less common, terrestrial ores being   mined today).Why Paul, it's obvious.Once chlorine chemistry has been banned on Earth,as is being advocated by some groups, Ti prices willsharply increase (we are of course not allowed toassume any developments in Ti processing).Lunar Ti will then be eminently competitive forthe trendy jewelry market and certain applicationsof National Importance :-) :-) :-) (oops, this is sci.space... wrong rules of debate ;-)Seriously, I'd say there is a flaw in Gary's analysisin that he assumes an export oriented economy, maybethe lunatics will just want some native Ti for localuse... as to why Lunar natives are cost effective, analysis has shown they will be critical in providinga sheltered manufacturing base, technological innovation,critical materials and manpower in the war betweenthe Allies and Central Powers in about two hundred years...;-)"
524,"little.I know what you mean!  I glow everytime Ronnie's out on the ice.In fact, one of the neatest things about seeing the Pens in personis that I can key in on him instead of watching what I'd probablybe seeing on tv.  He does so many subtle things behind the play.He said in an interview recently that when he was a kid his dadstressed the importance of playing two-way hockey; that you have tolearn how to play defense as well as offense and he obviously tookthat advice to heart.  He was a breath of fresh air when he arrivedin Pittsburgh to the team whose forwards, for the most part, couldn'tand wouldn't play a lick of defense.It's really difficult to assess what the key trades were that broughtall of this success to the Pens.  You mention Rick Tocchet and he hascertainly helped, and even ol' Kjell has been steady.  But looking atthis team you could almost take any one of them out of the line-uppermanently and replace them with an extremely mediocre player and itwouldn't matter.If I had to pick the top three acquisitions in recent years they wouldbe 1) Tom Barrasso; 2) Ron Francis; 3) Larry Murphy.  (I'd love to putFrancis first but I do think the only thing that could really damagethe Pens right now would be to lose Barrasso.)"
525,"OK, I'm sure that this has been asked 100's of times before, but Ihave wondered since I heard it...  Where the hell did the nicknameof the ""Habs"" come from for the Montreal Canadiens?"
526,"Hello,I purchased my new 486 with a NoName graphics card installed which is obviously Speedstar 24 compatible. Its name is ""VGA 4000 TrueColor"".It is accompanied with some drivers and the utilities VMODE, XMODE andat least one more MODE, as well as some drivers for Lotus, Windows, etc.Only one of the drivers is told to provide the TrueColor mode, namelythe Windows 3.1 driver.Nowhere else, except in the ad, is any pointer to the TrueColor mode.Some articles in this group about the Speedstar 24 and some other factsmade me believe that my card is compatible to that one.Does anybody out there know how this mode can be adjusted? How can I writea driver which allows me to have 16.7 millions of colors with a resolutionof 640 x 480 with 45 Hz interlaced ?"
527,"Punch Imlach's contributions as a coach and GM were far greater thanthose of the above combined.  Should we name a division or trophy afterhim?  Smythe and Norris and the bunch were honoured purely because theywere powerful owners.  As owners they certainly did help to build theleague but whether they developed the game is another question altogether.Are we going to honour those who contributed to the league's evolutionor are we going to honour those who contributed to the glory of the sport itself?   I can't disagree with you here.What have you heard?  The Major was the *definitive* little asshole!  Heoriginated the phrase ""if you can't beat 'em in the alley you can't beat'em on the ice.""  That was his idea of hockey.  Do you think, by chance,that Don Cherry is a classy individual?The money issue is irrelevant to the point that we would agree on, andthat is: ""it is the players that are what make the game great and not thepeople who put them on the ice""Exactly true.  Naming divisions and trophies after Smythe and the bunchis the same kind of nepotism that put Stein in the hall of fame.  I havealways thought that this was nonsense.-- "
529,"I am looking for Super 8mm Projector with SOUNDS.If anybody out there has one for sale, semd email with the name of brand, condition of projector, and price forsale to kimd@rpi.edu(IT MUST HAVE SOUND CAPABILITY)"
530,"      As I recall, the Penguins and Devils tied for third place last yearwith identical records, as well.  Poor Devils -- they always get screwed.Yet, they should put a scare into Pittsburgh.  They always do!  Pens in 7."
531,Does anyone know how to size cold gas roll control thruster tanksfor sounding rockets?
532,"Has ANYONE who has ordered the new PC version of Imagine ACTUALLY recievedit yet?   I'm just about ready to order but reading posts about people stillawaiting delivery are making me a little paranoid.  Has anyone actually held this piece of software in their own hands?Later,"
534,": I've been trying to view .tga files created in POVRAY.  I have the Diamond: SpeedStar 24 Video board (not the _24X_).  So far I can convert them to: jpeg using cjpeg and view them with CVIEW but that only displays 8 bit color...: Just want to see the darn things in real color...I have an ATI ultra pro card, and have found that the easiest way to viewtrue color images is using their windows drivers and something like winjpegor photofinish.  If anyone has a non-windows solution, I'd love to hear it!"
537,"Well, the title says it all...I'm looking to buy cheap usedTG-16 Gmaes which have 2 or more player support (Simultaneous)....Please email me all offers with a price..."
538,"	Well, Druce pretty much sucked when he was with the Caps. He had onegood **playoffs** (not season). oh well. The Caps are notorious for makingstupid trades anyway, as can be seen with the Cicarelli and Hrivnak trades.Sigh.	In another note... I'd have to say the Caps biggest surprise was Cote, as many Caps fans had been expecting a lot from Bondra already. "
539,"With the kind of team Montreal has now,  they can take thecup easily.  The only problem they have right now is that everyone istrying to steal the show and play alone.  They need some massive teamwork.	They are also in a little of a slump because long-time hockeyMontreal Canadiens announcer Claude Mouton died last tuesday and it wasrough on everybody because he has worked with the organization for 21years.  But I know that is no excuse.  But if the Habs manage to get somegood teamwork and get into the spirit,  they should have no problemwinning in May."
541,"I sent off for my copy today...   Snail Mail.   Hope to get it back inabout ten days.  (Impulse said ""a week"".)I hope it's as good as they claim...Jim Nobles"
542,"The Orion concept as actually proposed (as opposed to the way it has beensomewhat misrepresented in some fiction) included wrapping a thick layerof reaction mass -- probably plastic of some sort -- around each bomb.The bomb vaporizes the reaction mass, and it's that which transfersmomentum to the pusher plate."
544,"Looking to save money?  I am your man.  I will mail you $5 in food coupons for only$2.50.  Or you will get twice the dollar amountof coupons.  So mail $15 and get $30 dollars in coupons. Sounds like a greatdeal well it is.  Send SASE to 766 S.Elizabeth St. Salt Lake City, Utah 84102enclose money in form of a money order.  Personally, I would not trust a personto send coupons after money is sent.  Well, let me earn your trust.  Send$1 dollar, and I'll send you your $2 in store coupons.  Then we'll talk moree-mail enquiries to yb025@uafhp.uark.edu"
545,"Voyager  has the unusual  luck to be on a stable trajectory out of thesolar system.   All it's doing is collecting  fields  data,  and routinelysquirting it down.  One of the mariners is also in stablesolar orbit,  and still providing similiar  solar data.  Something  in a planetary orbit,  is subject to much more complex forces.Comsats, in ""stable "" geosynch  orbits,  require  almost dailystationkeeping operations.   For the occasional  deep space bird,  like PFF  after pluto,  sureit could be left on  ""auto-pilot"".  but things like  galileo ormagellan,  i'd suspect they need enough  housekeeping thateven untended they'd  end up unusable after a while.The better question  should be.Why not transfer  O&M of all birds to a separate agency with continous fundingto support these kind of ongoing science missions.pat	When ongoing ops are mentioned,  it seems to  always quote  Operationsand Data analysis.  how much would it cost to collect the dataand let it be analyzed  whenever.  kinda like all that landsat datathat sat around for 15 years before someone analyzed it for the ozone hole."
546,"There was a very useful article in one of the 1989 issues ofTransactions On Graphics. I believe Maureen Stone was one ofthe authors. Sorry not to be more specific. I don't have thereference here with me.The article actually was more general than this, giving a way to decidewhether a given (cubic) Bezier curve contains cusps, intersection pointsor whatever wierdness. The same treatment is also available in SIGGRAPH 89course notes for the course called ""Math for Siggraph"" or something likethat."
547,"Apparently, my editor didn't do what I wanted it to do, so I'll try again.i'm looking for any programs or code to do simple animation and/ordrawing using fractals in TurboPascal for an IBM              Thanks in advance"
549,Does anyone know of any good shareware animation or paint software for an SGI machine?  I've exhausted everyplace on the net I can find and still don't hava a nice piece of software.Thanks alot!Chad
551,Forgot to mention that the above mentioned Quantum is a SCSIdrive.
553,"  ^^^^^^^^Well, I'm not sure I'd go quite that far, but I agree that Motorolagear is of better quality.  The question is how much that qualityis worth to a ham in amateur service, not commercial serviceOk, great. But how often does that come up?  How good is""good enough"", and how much is someone willing to pay for it?A good ham-quality HT is maybe $500, while a commercialquality one is maybe $2000. Is the increased reliability andperformance worth 4 times the price *in amateur service*?Only the individual involved can answer that question, and eachham has to decide for him/herself.  If Motorola quality is worth4 times the price to you, then more power to ya'. But I'm amazedthat folks make that choice. For, me, given that I've got $2000 tospend, I'l pick the Yaesu ht and a nice new HF rig every time overa Motorola ht alone, no matter how good it is.  To me, ham-qualitygear is ""good enough"". To each his own...73... Mike, N4PDY"
554,"I'd have to take Quebec in 6.Hawks will win, but it will take 5.Cal in 7.Boston will beat Quebec in 6.Pitt in 6. The Bruins arent a pushover.The hawks havent had problems with them  all year. Yep, I agree.Unless the Hawks can somehow change fate, you're right.  Who knows, though.  Maybe some intensive forechecking aka normal Hawksstyle will nullify a seemingly unbeatable team.  Maybe the Pens are duefor a let-down.  Hell, how could they _possibly_ extend their recordmaking play all the way through the playoffs.? "
557,"You're right ... I'm sick of seeing all those white guys on skatesmyself ... the Vancouver Canucks should be half women, and overall one-third Oriental.(-; (-; (-; (-; (-; (-; And I'll gladly volunteer myself for the overage draft. (-;gld"
559,"  Did the Russian spacecraft(s) on the ill-fated Phobos mission a fewyears ago send back any images of the Martian moon?  If so, does anyone know ifthey're housed at an ftp site?  Thanks. "
561,"Actually, that is no longer true. In the last few years Congress hasammended laws to provide whatever is needed. Note that both Spacehaband Comet are funded this way.The problems aren't legal nor technical. The problem is NASA's culture.  Allen"
564,"Apollo was done the hard way, in a big hurry, from a very limitedtechnology base... and on government contracts.  Just doing it privately,rather than as a government project, cuts costs by a factor of several."
565,"  There was an interesting article in Scientific American some time agoabout breathing liquid. (It was a few months before _The Abyss_ came out.)As far as I can remember, they mentioned three things that were difficultto do at once with a substitute breathing fluid:  - low viscosity --- if it's too difficult to force the fluid in & out     of the lungs, you can't extract enough oxygen to power your own    breathing effort (let alone anything else)  - diffusion rate --- obviously, not all the air in your lungs is    expelled when you breathe out; and the part that isn't expelled    is the part that's nearest the walls of the alveoli. (alveolus?)    So the trip from the blood vessels to the new air has to be done    by diffusion of the gas through the fluid. Apparently oxygen    tends to diffuse more readily than CO2, so even if you can get enough    oxygen in, you might not be able to get enough CO2 out.  - oxygen/CO2 capacity --- you have to be able to dissolve enough    gas per unit volume.   Oh, and of course, your new breathing fluid must not irritate the lungsor interfere with their healing or anything like that... "
566,"1992-93 Los Angeles Kings notes.--------------------------------Playoffs:---------*Stauber disturbed by third-man themeby Rick Sadowski, Daily NewsBarry Melrose's decision to stick Robb Stauber in the stands rather than in thecrease or even on the bench for the Stanley Cup playoffs does not sit well withthe rookie goaltender.""I want to be a part of the team at the most crucial time of the year, the mostfun time of the year, and I'm not,""  Stauber said with some emotion Monday.  ""Ithink I have worked hard enough for that.""Stauber said he accepts Melrose's choice of Kelly Hrudey as the teams top goaliein their playoff series with the Calgary Flames. Hrudey made 21 saves in Sundays6-3 opening victory.But Stauber clearly is upset with his sudden status as the No. 3 man behind RickKnickle.  Stauber had a 4-1-2 record and 2.98 goals-against average down thestretch in the regular season and nearly wrestled the No. 1 job from Hrudey.Knickle?  He won 2 of 3 decisions but had a bloated 5.26 average, twice was yanked from games (once for stomach cramps) and hasn't played since March 29.Yet, when the series resumes Wednesday, Knickle will serve as Hrudey's backupagain and Stauber will have to satisfy his playoff hunger by munching on OlympicSaddledome popcorn.""If I'm supposedly close to being the starter or could have been the starter...Idropped too. 3.  What happened to No. 2?""  Stauber wondered.  ""Not that I'd behappy with No. 2, but I feel I should at least be a part of this team in theplayoffs.""Perhaps Stauber eventually will get his chance, but Melrose apparently is notconvinced the 25-year old is capable of handling playoff pressure.While insisting he is the Kings' ""goalie of the future,"" Melrose said Stauberflubbed all four of the big games he was asked to win this season.  They were,according to Melrose: a 7-2 loss to San Jose on Dec. 26; An 8-3 loss to the NewYork Rangers on Jan. 23; a 6-6 tie with Detroit on Feb. 11; an 8-6 loss to Vancouver on Thursday.""Four times this season Robb could have emerged as the elite goalie, he couldhave taken it away from Kelly Hrudey, and he didn't do it,"" Melrose said.  ""Anelite goaltender has to carry the ball when you give it to him.  The mark of agreat goalie is that he isn't satisfied to be a backup.""""I'm not blaming Robb for the losses, but if you're going to be No. 1, you'vegot to be able to walk your talk.  You've got to be able to play when everythingis on the line.  Robb Stauber has a great deal of ability, but maybe I expectmore from him than he does.""Ouch.  That remark stung Stauber.  He began the season 9-0-1, struggled when theteam hit a mid-season slump, didn't play for a month after Knickle was signedoff the San Diego Gulls roster, then came on at the end.""I expect more from myself than anybody, including Barry Melrose,"" said Stauber,a three-year star at the University of Minnesota who left school in 1989, only to have his development hampered by a string of serious injuries.""What I've been through the last four years - two knee operations, a herniateddisk in my back, shoulder surgery - what more can I go through?  I obviously doexpect a lot from myself, otherwise I wouldn't be here.""""Anybody who would disagree with that doesn't know me.  I'm not saying Barry doesn't know me, but don't say I've been without expectations.  If anything, I'ma perfectionist.""Stauber acknowledged he played poorly in the four games Melrose mentioned. ""But even though I didn't play well, I get knocked down from maybe on to three? It's a bit of a jump,"" he said.  ""You're almost No. 1, or if you play a good game you're No. 1 and if you don't you're No. 3?  Why does Jack Nicklaus shoot a 67 and then a 75?  Can you explain that?  That's what barry wanted me to explain to him, why I didn't come through when he counted on me.  I don't know. What I do know is, it's a sport.  I'll be there.""Melrose's ""goalie of the future"" statement doesn't mean much to Stauber. ""Beforeyou know it, I'll be 30 and there will be no future,"" he said.------*Game 1 of the Kings @ Flames playoff series drew a 4.2 Nielsen rating on ABC Channel 7 here in LA.  The Kings averaged a 2.1 Nielsen rating in the 10 regularseason games aired on Channel 5.Around the NHL:---------------*San Jose fired Coach George Kingston, who lead the team to a 11-71-2 mark in their 2nd NHL season.  Kingston was 28-129-7 over the past 2 years with theSharks.------*Former Islander executive Bill Torrey was named as President of the expansionFlorida Panthers.  Bobby Clarke was named as the clubs General Manager.*Last nights games:-------------------WIN  2 @ VAN  4 (VAN leads 1-0)TOR  3 @ DET  6 (DET leads 1-0)===============================================================================Stan Willis (willis@empire.dnet.hac.com)net contact: L.A. Kings"
